,Belconnen,Gungahlin,Molonglo,North Canberra,South Canberra,Tuggeranong,Weston Creek,Woden Valley
2009,8824.0,3369.0,0.0,4608.0,3558.0,7566.0,991.0,3711.0
2010,9060.0,3579.0,0.0,4668.0,3620.0,7236.0,1024.0,3767.0
2011,8819.0,4050.0,0.0,4744.0,3694.0,7188.0,1034.0,3738.0
2012,8708.0,4826.0,0.0,4905.0,3726.0,7170.0,1081.0,3812.0
2013,8899.0,5284.0,0.0,4987.0,3761.0,6931.0,1150.0,3905.0
2014,9007.0,5827.0,0.0,5091.0,3862.0,6876.0,1810.0,4092.0
2015,9346.0,6362.0,0.0,5213.0,3928.0,6946.0,1789.0,4274.0
2016,9720.0,6869.0,110.0,5288.0,4102.0,6913.0,1893.0,4421.0
2017,10077.0,7436.0,197.0,5389.0,4219.0,7004.0,1977.0,4602.0
2018,10349.0,7780.0,288.0,5554.0,4266.0,7204.0,2065.0,4767.0
2019,10713.0,8178.0,394.0,5540.0,4370.0,7372.0,2139.0,4743.0
2020,11104.0,8571.0,485.0,5487.0,4493.0,7578.0,2186.0,4748.0
2021,11291.0,8835.0,595.0,5491.0,4511.0,7676.0,2216.0,4835.0
2022,11521.0,8825.0,747.0,5416.0,4539.0,7639.0,2313.0,4777.0
2023,11679.0,9184.0,906.0,5526.0,4627.0,7782.0,2294.0,4731.0
2024,11721.0,9495.0,1071.0,5530.0,4697.0,7861.0,2294.0,4774.0
2025,11716.0,9733.0,1241.0,5569.0,4764.0,7805.0,2265.0,4802.0
2026,11738.0,9956.0,1422.0,5636.0,4776.0,7755.0,2229.0,4852.0
2027,11753.0,10131.0,1574.0,5716.0,4796.0,7671.0,2206.0,4909.0
