decile,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
1,0.1147561415454151,0.06729647964964716,0.0866346808521645,0.10871652912403713,0.04937192858220934,0.1139102574527949,0.03964453616038017,0.003345278080452927
2,0.08146095908180208,0.07017557810849348,0.09382571909387585,0.10447599295365204,0.0738388533816565,0.10870590531331827,0.07343975934255176,0.011004145089360937
3,0.07666369014463136,0.08437063458225444,0.0871404530620707,0.09272918709557984,0.09528621318451622,0.09734578040886692,0.06877484141458913,0.0218218173240022
4,0.07985624491516145,0.08568743471307806,0.09172105409136291,0.11307493831552945,0.097877666325253,0.08907573958722982,0.12385284436467742,0.041855292571415736
5,0.07755971467572367,0.10333985616334031,0.09759971094183062,0.11377132923164146,0.10988046091794396,0.0795371379315953,0.10533849719886937,0.06518461935947698
6,0.08172671769513269,0.10856301382069211,0.10528179789087816,0.10122833812056892,0.10830090852739964,0.12520126205539384,0.11267738677401307,0.10711405174060053
7,0.08740102840530067,0.12266916895393912,0.09783170559043435,0.10836001747124042,0.11664956434160478,0.15134499975604598,0.11820698575092826,0.10682872580627042
8,0.09716871204287265,0.12735280150349296,0.1095404715261388,0.10338982560578056,0.12246087427845116,0.09572348626538943,0.12128786612702819,0.16861864054548928
9,0.12645488939283744,0.13377816627935452,0.10300164465503032,0.0951531770756499,0.12284959224956168,0.09874851594646022,0.1283724377465976,0.18537423753945698
10,0.17695190210112288,0.09676686622570786,0.1274227622962138,0.05910066500632031,0.10348393821140373,0.04040691528290533,0.10840484512036505,0.28885319194347403
